Run ID,1732661637
Run Date/Time,2024-11-26 14:52:50
Application Name,Labcyte Echo Dose-Response
Application Version,1.7.3
Protocol Name,tsa-flirtini-241126.edr
Order ID,
Reference ID,
User Name,labuser

[DETAILS]
Date Time Point,Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Source Concentration,Source Concentration Units,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Concentration,Destination Concentration Units,Transfer Volume,Actual Volume,Sample ID,Sample Name,Survey Fluid Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
2024-11-26 14:55:19.729,Source Plate[1],SCO0002393,384PP_DMSO2,A1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,B1,4.975E-05,M,50,50,,Sample 1,41.841,41.791,97.876,Percent,DMSO,
2024-11-26 14:55:20.955,Source Plate[1],SCO0002393,384PP_DMSO2,A1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,B2,4.975E-05,M,50,50,,Sample 1,41.841,41.741,97.876,Percent,DMSO,
2024-11-26 14:55:21.255,Source Plate[1],SCO0002393,384PP_DMSO2,A1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,B3,4.975E-05,M,50,50,,Sample 1,41.841,41.691,97.876,Percent,DMSO,
2024-11-26 14:55:21.555,Source Plate[1],SCO0002393,384PP_DMSO2,A1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,B4,4.975E-05,M,50,50,,Sample 1,41.841,41.641,97.876,Percent,DMSO,
2024-11-26 14:55:21.854,Source Plate[1],SCO0002393,384PP_DMSO2,A1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,B5,4.975E-05,M,50,50,,Sample 1,41.841,41.591,97.876,Percent,DMSO,
2024-11-26 14:55:22.154,Source Plate[1],SCO0002393,384PP_DMSO2,A1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,B6,4.975E-05,M,50,50,,Sample 1,41.841,41.541,97.876,Percent,DMSO,
2024-11-26 14:55:22.454,Source Plate[1],SCO0002393,384PP_DMSO2,A1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,B7,4.975E-05,M,50,50,,Sample 1,41.841,41.491,97.876,Percent,DMSO,
2024-11-26 14:55:22.754,Source Plate[1],SCO0002393,384PP_DMSO2,A1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,B8,4.975E-05,M,50,50,,Sample 1,41.841,41.441,97.876,Percent,DMSO,
2024-11-26 14:55:23.053,Source Plate[1],SCO0002393,384PP_DMSO2,B1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,C8,4.975E-05,M,50,50,,Sample 2,42.027,41.977,98.913,Percent,DMSO,
2024-11-26 14:55:23.352,Source Plate[1],SCO0002393,384PP_DMSO2,B1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,C7,4.975E-05,M,50,50,,Sample 2,42.027,41.927,98.913,Percent,DMSO,
2024-11-26 14:55:23.652,Source Plate[1],SCO0002393,384PP_DMSO2,B1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,C6,4.975E-05,M,50,50,,Sample 2,42.027,41.877,98.913,Percent,DMSO,
2024-11-26 14:55:23.952,Source Plate[1],SCO0002393,384PP_DMSO2,B1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,C5,4.975E-05,M,50,50,,Sample 2,42.027,41.827,98.913,Percent,DMSO,
2024-11-26 14:55:24.251,Source Plate[1],SCO0002393,384PP_DMSO2,B1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,C4,4.975E-05,M,50,50,,Sample 2,42.027,41.777,98.913,Percent,DMSO,
2024-11-26 14:55:24.551,Source Plate[1],SCO0002393,384PP_DMSO2,B1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,C3,4.975E-05,M,50,50,,Sample 2,42.027,41.727,98.913,Percent,DMSO,
2024-11-26 14:55:24.851,Source Plate[1],SCO0002393,384PP_DMSO2,B1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,C2,4.975E-05,M,50,50,,Sample 2,42.027,41.677,98.913,Percent,DMSO,
2024-11-26 14:55:25.151,Source Plate[1],SCO0002393,384PP_DMSO2,B1,0.01,M,Destination Plate[1],,ABI MicroAmp Optical 384-well REF4309849,C1,4.975E-05,M,50,50,,Sample 2,42.027,41.627,98.913,Percent,DMSO,
